SUBJECT,CATALOG_NBR,DESCR,COMPLETED HEADCOUNT,TOTAL HEADCOUNT,A_COUNT,B_COUNT,C_COUNT,D_COUNT,S_COUNT,P_COUNT,N_COUNT,F_COUNT,W_COUNT,GPA,PASS_RATE,W_PERCENT,A_PERCENT,B_PERCENT,C_PERCENT,D_PERCENT,F_PERCENT
DES,1407,Fashion and Feminism,20,20,13,6,1,0,0,0,0,0,0,3.6,1.0,0.0,0.65,0.3,0.05,0.0,0.0
DES,2101,Design and Visual Presentation,33,34,24,5,3,1,0,0,0,0,1,3.5757575757575757,0.9411764705882353,0.029411764705882353,0.7272727272727273,0.15151515151515152,0.09090909090909091,0.030303030303030304,0.0
DES,3131,User Experience in Design,58,58,47,11,0,0,0,0,0,0,0,3.810344827586207,1.0,0.0,0.8103448275862069,0.1896551724137931,0.0,0.0,0.0
DES,3201,Career/Intern Prep for Design,82,87,63,12,5,0,0,0,0,2,5,3.6341463414634148,0.9195402298850575,0.05747126436781609,0.7682926829268293,0.14634146341463414,0.06097560975609756,0.0,0.024390243902439025
DES,3311,Travels in Typography,15,16,11,4,0,0,0,0,0,0,1,3.7333333333333334,0.9375,0.0625,0.7333333333333333,0.26666666666666666,0.0,0.0,0.0
DES,3321,Furniture Design: Exploration,14,15,11,3,0,0,0,0,0,0,1,3.7857142857142856,0.9333333333333333,0.06666666666666667,0.7857142857142857,0.21428571428571427,0.0,0.0,0.0
DES,3322,"Furniture Design, Practice",14,15,12,2,0,0,0,0,0,0,1,3.857142857142857,0.9333333333333333,0.06666666666666667,0.8571428571428571,0.14285714285714285,0.0,0.0,0.0
DES,3331,Street Life,17,20,3,13,1,0,0,0,0,0,3,3.1176470588235294,0.85,0.15,0.17647058823529413,0.7647058823529411,0.058823529411764705,0.0,0.0
DES,4165,Design and Globalization,32,32,5,25,2,0,0,0,0,0,0,3.09375,1.0,0.0,0.15625,0.78125,0.0625,0.0,0.0
DES,5185,Human Factors in Design,10,10,7,3,0,0,0,0,0,0,0,3.7,1.0,0.0,0.7,0.3,0.0,0.0,0.0
