,SUBJECT,CATALOG_NBR,DESCR,COMPLETED HEADCOUNT,TOTAL HEADCOUNT,A_COUNT,B_COUNT,C_COUNT,D_COUNT,S_COUNT,P_COUNT,N_COUNT,F_COUNT,W_COUNT
147,ANTH,4035,Ethnog Rsrch Methds,12,13,6,4,0,2,0,0,0,0,1
148,ANTH,4047,Anth of Amer Culture,17,17,7,7,2,0,0,0,0,1,0
149,ANTH,4077,Neanderthals,13,13,10,1,1,0,0,0,0,1,0
150,ANTH,4329,Primate Behavior,10,11,0,8,1,0,0,0,0,1,1
151,ANTH,5221,Anthropology Material Culture,13,13,8,3,1,0,0,0,0,1,0
152,ANTH,5402,Zooarchaeology Laboratory,12,12,7,3,1,1,0,0,0,0,0
153,ANTH,5403,Quantitative Methods,10,15,4,4,0,0,2,0,0,0,5
154,ANTH,8810,Sociocultural Anthropology,11,11,7,0,0,0,0,0,4,0,0
155,APEC,1001,Orientation to Applied Econ,66,68,60,6,0,0,0,0,0,0,2
156,APEC,1101,Principles of Microeconomics,191,203,77,80,27,2,2,0,0,3,12
157,APEC,1101H,Honors: Principles Microecon,49,49,32,16,1,0,0,0,0,0,0
158,APEC,1251,Principles of Accounting,73,73,31,24,14,3,0,0,0,1,0
159,APEC,1905,The Ordinary Business of Life,20,20,14,6,0,0,0,0,0,0,0
160,APEC,3001,"Ap Micro:Consumers, Prod & Mkt",65,67,32,23,9,1,0,0,0,0,2
161,APEC,3002,Appl Micro: Managerial Econ,55,56,19,27,6,0,0,0,0,3,1
162,APEC,3006,Appl Macro: Government & Econ,47,49,12,29,6,0,0,0,0,0,2
163,APEC,3071,Microecon of Int'l Development,35,38,8,22,4,0,0,0,0,1,3
164,APEC,3202,Intro to the Food System,53,53,21,31,1,0,0,0,0,0,0
165,APEC,3411,Commodity Marketing,42,43,16,18,7,0,0,0,0,1,1
166,APEC,3501,Agribusiness Finance,41,45,20,13,8,0,0,0,0,0,4
167,APEC,3551,Value-Added Entrepreneurship,38,40,6,20,7,2,0,0,0,3,2
168,APEC,3811,Principles of Farm Management,31,31,11,14,6,0,0,0,0,0,0
169,APEC,3841,Agricultural Co-ops & Mutuals,32,32,11,20,1,0,0,0,0,0,0
170,APEC,4451W,Food Marketing Economics,16,16,8,6,2,0,0,0,0,0,0
171,APEC,5031,Economic Data Analysis,12,12,9,3,0,0,0,0,0,0,0
172,APEC,8001,Consumer Choice,21,21,13,8,0,0,0,0,0,0,0
173,APEC,8002,Production and Uncertainty,21,21,15,6,0,0,0,0,0,0,0
174,APEC,8211,Econometric Analysis I,56,60,40,16,0,0,0,0,0,0,4
175,APEC,8221,Programming for Econometrics,18,19,17,0,0,0,1,0,0,0,1
176,APEC,8222,Big Data Methods in Economics,18,18,16,0,0,0,1,0,1,0,0
177,APEC,8901,Graduate Seminar: MS & PhD,15,17,0,0,0,0,15,0,0,0,2
178,APEC,8903,PhD Qualifying Paper Seminar I,16,17,0,0,0,0,16,0,0,0,1
179,APS,8001,Intro to Research Bio Sciences,14,14,11,1,0,0,0,0,0,2,0
180,ARAB,1101,Beginning Arabic I,93,96,51,25,7,2,4,0,0,4,3
181,ARAB,3101,Intermediate Arabic I,55,56,27,13,9,6,0,0,0,0,1
182,ARAB,3811,Egyptian Colloquial Arabic I,13,14,11,2,0,0,0,0,0,0,1
183,ARCH,1281,Design Fundamentals I,208,214,119,72,12,2,0,0,0,3,6
184,ARCH,2301,Intro Arch Drawing,138,145,28,87,21,1,0,0,0,1,7
185,ARCH,3212,BDA: Analytical Modeling,18,18,4,13,1,0,0,0,0,0,0
186,ARCH,3222,BDA: Box Problem,39,42,3,36,0,0,0,0,0,0,3
187,ARCH,3250,Design Workshop,84,90,45,32,5,0,0,0,0,2,6
